Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,rasio_sem1,rasio_sem2,band_sem1,band_sem2,spp,prodi,status_spp,kelas,gender,beasiswa,debitur,pernikahan,kelompok_usia,sel_progresi,arah_progresi,kelompok_tersembunyi,tahap_funnel,is_dropout,risiko_sem1,risiko_sem2,tingkat_risiko,pendapatan_berisiko
1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,0.0,0.0,0%,0%,Lunas,Basic Education,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 0% -> Sem2 0%,Stabil,Tidak,1. Gugur di Semester 1,1,0.9908,0.9991,Tinggi,0.0
1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,1.0,0.8333,>80%,>80%,Lunas,Tourism,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,21-25 th,Sem1 >80% -> Sem2 >80%,Memburuk,Tidak,3. Lolos Dua Semester,0,0.0155,0.0061,Rendah,0.0
1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,0.8,1.0,50-80%,>80%,Lunas,Veterinary Nursing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 50-80% -> Sem2 >80%,Membaik,Tidak,3. Lolos Dua Semester,0,0.0248,0.0075,Rendah,0.0
1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,0.8333,0.0,>80%,0%,Lunas,Journalism & Comm,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 0%,Memburuk,Ya,2. Gugur di Semester 2,1,0.5145,0.983,Tinggi,0.0
1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,0.1667,0.3333,1-50%,1-50%,Lunas,Social Service,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 1-50% -> Sem2 1-50%,Membaik,Tidak,1. Gugur di Semester 1,0,0.9592,0.9951,Tinggi,29853000.0
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,1.0,1.0,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0459,0.0699,Rendah,0.0
1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,0.8,0.8,50-80%,50-80%,Lunas,Equinculture,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 50-80% -> Sem2 50-80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.2491,0.1429,Rendah,0.0
1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,0.8571,0.8571,>80%,>80%,Lunas,Basic Education,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.6294,0.4525,Sedang,13575000.0
1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,0.0,0.0,0%,0%,Lunas,Animation & Multimedia,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,21-25 th,Sem1 0% -> Sem2 0%,Stabil,Tidak,1. Gugur di Semester 1,0,0.2702,0.2374,Sedang,0.0
1,18,4,9556,1,1,127.0,1,1,38,4,7,121.8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled,1.0,1.0,>80%,>80%,Lunas,Oral Hygiene,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0618,0.1181,Rendah,3543000.0
1,1,4,9500,1,1,142.0,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate,0.875,0.875,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0173,0.011,Rendah,0.0
1,1,4,9670,1,1,125.0,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate,1.0,1.0,>80%,>80%,Lunas,Advertising & Marketing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0286,0.0045,Rendah,0.0
1,1,1,9500,1,1,126.0,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,0.8571,0.875,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0391,0.0482,Rendah,0.0
1,1,1,9238,1,1,151.0,1,19,38,9,9,157.0,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,0.8333,0.6667,>80%,50-80%,Lunas,Social Service,Lunas,Pagi,Perempuan,Ya,Ya,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 50-80%,Memburuk,Tidak,3. Lolos Dua Semester,0,0.0273,0.2125,Sedang,6375000.0
1,17,2,9238,1,1,115.0,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate,1.0,1.0,>80%,>80%,Lunas,Social Service,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,21-25 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.1024,0.0039,Rendah,0.0
1,1,1,9085,1,1,138.0,1,19,19,3,3,131.0,1,0,0,1,0,0,18,0,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled,1.0,0.8,>80%,50-80%,Lunas,Veterinary Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 50-80%,Memburuk,Tidak,3. Lolos Dua Semester,0,0.0172,0.0078,Rendah,234000.0
1,1,1,9147,1,1,135.0,1,19,1,9,9,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate,1.0,1.0,>80%,>80%,Lunas,Management,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0238,0.0069,Rendah,0.0
1,17,2,9500,1,1,127.0,1,3,3,1,10,118.8,1,0,0,1,1,0,19,0,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled,0.8571,0.8571,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Laki-laki,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.319,0.2071,Sedang,6213000.0
1,44,1,9003,1,39,150.0,1,4,5,4,2,150.0,0,0,0,1,1,0,21,0,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled,0.8333,0.8333,>80%,>80%,Lunas,Agronomy,Lunas,Pagi,Laki-laki,Tidak,Tidak,Belum Menikah,21-25 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0293,0.0555,Rendah,1665000.0
1,51,1,9070,1,1,125.0,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,1.0,0.6667,>80%,50-80%,Lunas,Communication Design,Lunas,Pagi,Laki-laki,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 50-80%,Memburuk,Tidak,3. Lolos Dua Semester,0,0.278,0.4992,Sedang,0.0
1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,0.6,0.4,50-80%,1-50%,Menunggak,Management,Menunggak,Pagi,Laki-laki,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 50-80% -> Sem2 1-50%,Memburuk,Ya,2. Gugur di Semester 2,0,0.9834,0.9963,Tinggi,29889000.0
1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate,1.0,1.0,>80%,>80%,Lunas,Social Service (malam),Lunas,Malam,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0122,0.0023,Rendah,0.0
1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate,1.0,1.0,>80%,>80%,Lunas,Management (malam),Lunas,Malam,Laki-laki,Tidak,Tidak,Belum Menikah,31-40 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0972,0.0313,Rendah,0.0
1,39,1,33,1,1,130.0,1,38,37,9,6,102.5,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,0.0,0.1429,0%,1-50%,Menunggak,Biofuel Production Tech,Menunggak,Pagi,Laki-laki,Tidak,Ya,Belum Menikah,31-40 th,Sem1 0% -> Sem2 1-50%,Membaik,Tidak,1. Gugur di Semester 1,1,0.9996,0.9995,Tinggi,0.0
1,39,1,9119,1,10,133.1,1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,0.0,0.0,0%,0%,Lunas,Informatics Engineering,Lunas,Pagi,Laki-laki,Tidak,Tidak,Belum Menikah,>40 th,Sem1 0% -> Sem2 0%,Stabil,Tidak,1. Gugur di Semester 1,1,0.9984,0.9995,Tinggi,0.0
1,43,1,9147,1,1,140.0,1,37,37,6,6,122.9,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,0.2,0.4,1-50%,1-50%,Lunas,Management,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,>40 th,Sem1 1-50% -> Sem2 1-50%,Membaik,Tidak,1. Gugur di Semester 1,1,0.9963,0.9956,Tinggi,0.0
4,39,1,9991,0,1,120.0,1,19,19,9,3,113.9,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,1.0,1.0,>80%,>80%,Lunas,Management (malam),Lunas,Malam,Perempuan,Tidak,Tidak,Bercerai,31-40 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0288,0.0111,Rendah,0.0
1,44,1,9130,1,39,120.0,6,4,4,3,6,120.0,0,0,1,0,0,0,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,0.5,0.5,1-50%,1-50%,Menunggak,Equinculture,Menunggak,Pagi,Perempuan,Tidak,Ya,Belum Menikah,<=20 th,Sem1 1-50% -> Sem2 1-50%,Stabil,Tidak,3. Lolos Dua Semester,1,0.996,0.9986,Tinggi,0.0
1,1,5,9773,1,1,126.0,1,3,3,2,2,121.1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,0.6667,0.0,50-80%,0%,Lunas,Journalism & Comm,Lunas,Pagi,Perempuan,Tidak,Ya,Belum Menikah,<=20 th,Sem1 50-80% -> Sem2 0%,Memburuk,Ya,2. Gugur di Semester 2,1,0.8057,0.9971,Tinggi,0.0
1,1,2,9147,1,1,133.0,1,3,19,2,7,120.4,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,1.0,1.0,>80%,>80%,Lunas,Management,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,21-25 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0162,0.0165,Rendah,0.0
1,1,6,9500,1,1,103.0,1,1,3,2,2,100.6,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate,0.7143,0.875,50-80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,21-25 th,Sem1 50-80% -> Sem2 >80%,Membaik,Tidak,3. Lolos Dua Semester,0,0.1435,0.0302,Rendah,0.0
1,17,1,9773,1,1,120.0,1,1,38,5,5,121.4,0,0,0,0,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,0.6667,0.8333,50-80%,>80%,Menunggak,Journalism & Comm,Menunggak,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 50-80% -> Sem2 >80%,Membaik,Tidak,3. Lolos Dua Semester,1,0.9759,0.9788,Tinggi,0.0
1,39,1,9991,0,1,133.1,1,37,37,9,9,109.7,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,0.0,0.0,0%,0%,Lunas,Management (malam),Lunas,Malam,Perempuan,Tidak,Tidak,Belum Menikah,26-30 th,Sem1 0% -> Sem2 0%,Stabil,Tidak,1. Gugur di Semester 1,1,0.9994,0.9994,Tinggi,0.0
1,17,1,9991,0,1,154.0,1,38,38,4,5,134.1,0,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled,0.4,0.6,1-50%,50-80%,Lunas,Management (malam),Lunas,Malam,Perempuan,Tidak,Tidak,Belum Menikah,21-25 th,Sem1 1-50% -> Sem2 50-80%,Membaik,Tidak,1. Gugur di Semester 1,0,0.983,0.9578,Tinggi,28734000.0
1,17,2,9238,1,1,130.0,1,19,19,9,9,127.6,1,0,0,1,0,0,18,0,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,1.0,0.8333,>80%,>80%,Lunas,Social Service,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Memburuk,Tidak,3. Lolos Dua Semester,0,0.0448,0.0318,Rendah,0.0
1,17,6,9500,1,1,132.0,1,37,19,7,7,132.4,1,0,0,1,0,1,22,0,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate,0.8571,0.875,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,21-25 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0502,0.0185,Rendah,0.0
1,44,1,8014,0,39,130.0,1,1,19,9,9,133.4,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,1.0,1.0,>80%,>80%,Lunas,Social Service (malam),Lunas,Malam,Perempuan,Ya,Tidak,Belum Menikah,21-25 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0082,0.004,Rendah,0.0
1,1,1,9238,1,1,139.0,1,37,38,9,9,126.1,0,0,0,1,0,1,19,0,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate,0.8333,1.0,>80%,>80%,Lunas,Social Service,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Membaik,Tidak,3. Lolos Dua Semester,0,0.0064,0.0009,Rendah,0.0
1,39,1,9254,1,1,130.0,1,19,38,9,7,113.5,0,0,0,1,0,1,24,0,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,1.0,1.0,>80%,>80%,Lunas,Tourism,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,21-25 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0117,0.0007,Rendah,0.0
1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled,0.75,0.75,50-80%,50-80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 50-80% -> Sem2 50-80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.3581,0.177,Sedang,5310000.0
1,1,1,9773,1,1,127.0,1,1,19,7,7,121.8,1,0,0,1,0,1,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled,0.6667,0.5,50-80%,1-50%,Lunas,Journalism & Comm,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 50-80% -> Sem2 1-50%,Memburuk,Tidak,3. Lolos Dua Semester,0,0.1446,0.7073,Tinggi,21219000.0
1,1,3,9130,1,1,167.0,1,37,37,90,90,159.3,0,0,0,1,0,0,19,0,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,1.0,1.0,>80%,>80%,Lunas,Equinculture,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0598,0.0688,Rendah,0.0
1,39,1,9991,0,1,130.0,1,38,38,9,9,120.0,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,1.0,1.0,>80%,>80%,Lunas,Management (malam),Lunas,Malam,Perempuan,Tidak,Tidak,Belum Menikah,26-30 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,1,0.1435,0.0461,Rendah,0.0
1,1,1,9500,1,1,130.0,1,1,19,5,5,129.1,1,0,0,1,0,0,18,0,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,1.0,1.0,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0233,0.006,Rendah,0.0
